Id,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
802Sj000004BCgMIAW,225.449,,
802Sj000004BCgNIAW,225.449,,
802Sj000004BCgOIAW,220.206,,
802Sj000004BCgPIAW,199.234,,
802Sj000004BCgQIAW,62.916000000000004,,
802Sj000004MHeFIAW,0.0,,
802Sj0000056UOjIAM,419.44,,
802Sj000005BIA1IAO,157.29,,
802Sj000005BGrOIAW,157.29,,
802Sj000005BGrPIAW,73.402,,
802Sj000005BGrQIAW,131.075,,
802Sj000005BNPpIAO,157.29,,
802Sj000005BJCYIA4,157.29,,
802Sj000005BNxhIAG,157.29,,
802Sj000005Mn0pIAC,487.599,,283.12199999999996
802Sj000005SXKkIAO,267.39300000000003,,
802Sj000005TYcyIAG,259.0042,,
802Sj000005tx1NIAQ,471.87,,
802Sj000006q3wDIAQ,293.608,,
802Sj000006q3wEIAQ,175.1162,,
802Sj000006q3wFIAQ,41.943999999999996,,
802Sj000006q3wGIAQ,52.43,,
802Sj0000089HMsIAM,431.2,,215.6
802Sj0000089HMtIAM,1249.5,,
802Sj000008FS4HIAW,89.131,,89.131
802Sj000008FrCHIA0,193.99099999999999,,
802Sj000008FrCIIA0,398.468,,
802Sj000008HE3bIAG,707.805,,225.449
802Sj000008HE3cIAG,209.72,,
802Sj000008cH3KIAU,78.645,,
802Sj000008cH3LIAU,104.86,,
802Sj000008cH3MIAU,30.4094,,30.4094
802Sj000008uvYTIAY,112.2002,,
802Sj000008uvYUIAY,251.66400000000002,,
802Sj000009ctXlIAI,47.04,,
802Sj000009cuOzIAI,47.04,,
802Sj00000A4PlGIAV,147.0,,
802Sj00000ABO1FIAX,563.5,,361.62
802Sj00000ABO1GIAX,19.6,,
802Sj00000ABO1HIAX,78.4,,
802Sj00000AR2OBIA1,279.3,,
802Sj00000BY6KwIAL,478.24,,
802Sj00000BkxtCIAR,458.64,,
802Sj00000C2AsRIAV,167.57999999999998,,
802Sj00000CJbWQIA1,431.2,,107.8
802Sj00000CY9pxIAD,263.62,,
802Sj00000DtDN5IAN,496.86,,
802Sj00000E76BtIAJ,122.5,,
802Sj00000E76BuIAJ,39.2,,
802Sj00000E76BvIAJ,19.6,,
802Sj00000E76BwIAJ,25.48,,
802Sj00000F5JRIIA3,258.71999999999997,,
802Sj00000FhmWzIAJ,392.0,,
802Sj00000FhmX0IAJ,117.6,,
802Sj00000FhmX1IAJ,35.28,,
802Sj00000FhmX2IAJ,305.76,,
802Sj00000FhmX3IAJ,0.0,,
802Sj00000FjkSgIAJ,83.3,,83.3
802Sj00000FmJNtIAN,0.0,,
802Sj00000FmJNuIAN,1073.1,,
802Sj00000FmJNvIAN,2690.1,,
8024H00000R9VerQAF,125.50693399999999,,125.50693399999999
8024H00000R9VesQAF,0.0,,9.605176
8024H00000R9VetQAF,0.0,,9.605176
8024H00000R9ibfQAB,0.0,,
8024H00000R9ic4QAB,0.0,,151.323466
8024H00000R9ic5QAB,0.0,,116.04856199999999
8024H00000R9ic6QAB,0.0,,6.826386
8024H00000R9ic7QAB,0.0,,11.37731
8024H00000R9ic8QAB,0.0,,15.41442
8024H00000R9ic9QAB,268.07459,,
8024H00000R9icAQAR,16.012121999999998,,174.07808599999998
8024H00000R9icYQAR,221.862788,,
8024H00000R9icZQAR,286.351688,,
8024H00000R9icaQAB,80.2179,,
8024H00000R9icbQAB,155.30028149999998,,
8024H00000R9iccQAB,155.30028149999998,,
8024H00000R9icdQAB,277.270812,,
8024H00000RxSX8QAN,0.0,,
8024H00000Ry4evQAB,129.271408,,129.271408
8024H00000SjCMUQA3,403.323018,,134.441006
8024H00000SjVn8QAF,17.5322,,17.5322
