Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
802Sj000001x0GSIAY,0000064351,389.0,,
802Sj000001xSJ5IAM,0000064366,442.0,,
802Sj000001xSJ6IAM,0000064367,416.23,,
802Sj0000020720IAA,0000064448,,202.23,
802Sj0000027vjaIAA,0000064633,267.5,,
802Sj000002I1irIAC,0000064883,10.165,,
802Sj000002I1isIAC,0000064884,14.0705,,
802Sj000002PeU9IAK,0000065064,315.65,,20.33
802Sj000002PZStIAO,0000065067,353.1,,
802Sj000002ZasHIAS,0000065273,0.0,,
802Sj000002grgKIAQ,0000065387,45.0,,
802Sj000002grgLIAQ,0000065388,290.0,,
802Sj000002xM0AIAU,0000065696,15.515,,256.3399
802Sj000002xM0BIAU,0000065697,12.84,,
802Sj000003fcAsIAI,0000066463,13.91,,249.6631
802Sj000003fcAtIAI,0000066464,14.0705,,252.5307
802Sj000004BCgKIAW,0000067051,224.7,,
802Sj000004BCgLIAW,0000067052,230.05,,
802Sj000004BCgMIAW,0000067053,230.05,,
802Sj000004BCgNIAW,0000067054,230.05,,
802Sj000004BCgOIAW,0000067055,224.7,,
802Sj000004BCgPIAW,0000067056,203.3,,
802Sj000004BCgQIAW,0000067057,64.2,,
802Sj000004MHeFIAW,0000067250,0.0,,
802Sj0000056UOjIAM,0000068259,428.0,,
802Sj000005BIA1IAO,0000068336,160.5,,
802Sj000005BGrOIAW,0000068337,160.5,,
802Sj000005BGrPIAW,0000068338,74.9,,
802Sj000005BGrQIAW,0000068339,133.75,,
802Sj000005BNPpIAO,0000068341,160.5,,
802Sj000005BJCYIA4,0000068342,160.5,,
802Sj000005BNxhIAG,0000068343,160.5,,
802Sj000005Mn0pIAC,0000068603,497.55,,288.9
802Sj000005SXKkIAO,0000068753,272.85,,
802Sj000005TYcyIAG,0000068774,264.29,,
802Sj000005tx1NIAQ,0000069398,481.5,,
802Sj000006q3wDIAQ,0000071313,299.6,,
802Sj000006q3wEIAQ,0000071314,178.69,,
802Sj000006q3wFIAQ,0000071315,42.8,,
802Sj000006q3wGIAQ,0000071316,53.5,,
802Sj0000089HMsIAM,0000073398,440.0,,220.0
802Sj0000089HMtIAM,0000073399,1275.0,,
802Sj000008FS4HIAW,0000073532,90.95,,90.95
802Sj000008FrCHIA0,0000073551,197.95,,
802Sj000008FrCIIA0,0000073552,406.6,,
802Sj000008HE3bIAG,0000073579,722.25,,230.05
802Sj000008HE3cIAG,0000073580,214.0,,
802Sj000008cH3KIAU,0000074053,80.25,,
802Sj000008cH3LIAU,0000074054,107.0,,
802Sj000008cH3MIAU,0000074055,31.03,,31.03
802Sj000008uvYTIAY,0000075286,114.49,,
802Sj000008uvYUIAY,0000075287,256.8,,
802Sj000009ctXlIAI,0000076736,48.0,,
802Sj000009cuOzIAI,0000076745,48.0,,
